"Disease","County","Year","Sex","Count","Population","Rate"
"Diphtheria","Contra Costa","2004","Male","0","486962","0"
"Diphtheria","Contra Costa","2005","Total","0","1004230","0"
"Diphtheria","Contra Costa","2005","Female","0","514168","0"
"Diphtheria","Contra Costa","2005","Male","0","490062","0"
"Diphtheria","Contra Costa","2006","Total","0","1010104","0"
"Diphtheria","Contra Costa","2006","Female","0","517107","0"
"Diphtheria","Contra Costa","2006","Male","0","492997","0"
"Diphtheria","Contra Costa","2007","Total","0","1021251","0"
"Diphtheria","Contra Costa","2007","Female","0","522750","0"
"Diphtheria","Contra Costa","2007","Male","0","498501","0"
"Diphtheria","Contra Costa","2008","Total","0","1033292","0"
"Diphtheria","Contra Costa","2008","Female","0","528831","0"
"Diphtheria","Contra Costa","2008","Male","0","504461","0"
"Diphtheria","Contra Costa","2009","Total","0","1043501","0"
"Diphtheria","Contra Costa","2009","Female","0","533877","0"
"Diphtheria","Contra Costa","2009","Male","0","509624","0"
"Diphtheria","Contra Costa","2010","Total","0","1052199","0"
"Diphtheria","Contra Costa","2010","Female","0","539100","0"
"Diphtheria","Contra Costa","2010","Male","0","513099","0"
"Diphtheria","Contra Costa","2011","Total","0","1061197","0"
"Diphtheria","Contra Costa","2011","Female","0","543641","0"
"Diphtheria","Contra Costa","2011","Male","0","517556","0"
"Diphtheria","Contra Costa","2012","Total","0","1069158","0"
"Diphtheria","Contra Costa","2012","Female","0","547638","0"
"Diphtheria","Contra Costa","2012","Male","0","521520","0"
"Diphtheria","Contra Costa","2013","Total","0","1081948","0"
"Diphtheria","Contra Costa","2013","Female","0","554275","0"
"Diphtheria","Contra Costa","2013","Male","0","527673","0"
"Diphtheria","Contra Costa","2014","Total","0","1096637","0"
"Diphtheria","Contra Costa","2014","Female","0","561929","0"
"Diphtheria","Contra Costa","2014","Male","0","534708","0"
"Diphtheria","Del Norte","2001","Total","0","27418","0"
"Diphtheria","Del Norte","2001","Female","0","12253","0"
"Diphtheria","Del Norte","2001","Male","0","15165","0"
"Diphtheria","Del Norte","2002","Total","0","27615","0"
"Diphtheria","Del Norte","2002","Female","0","12338","0"
"Diphtheria","Del Norte","2002","Male","0","15277","0"
"Diphtheria","Del Norte","2003","Total","0","27871","0"
"Diphtheria","Del Norte","2003","Female","0","12453","0"
"Diphtheria","Del Norte","2003","Male","0","15418","0"
"Diphtheria","Del Norte","2004","Total","0","28187","0"
"Diphtheria","Del Norte","2004","Female","0","12587","0"
"Diphtheria","Del Norte","2004","Male","0","15600","0"
"Diphtheria","Del Norte","2005","Total","0","28315","0"
"Diphtheria","Del Norte","2005","Female","0","12649","0"
"Diphtheria","Del Norte","2005","Male","0","15666","0"
"Diphtheria","Del Norte","2006","Total","0","28276","0"
"Diphtheria","Del Norte","2006","Female","0","12635","0"
"Diphtheria","Del Norte","2006","Male","0","15641","0"
"Diphtheria","Del Norte","2007","Total","0","28480","0"
"Diphtheria","Del Norte","2007","Female","0","12697","0"
"Diphtheria","Del Norte","2007","Male","0","15783","0"
"Diphtheria","Del Norte","2008","Total","0","28571","0"
"Diphtheria","Del Norte","2008","Female","0","12739","0"
"Diphtheria","Del Norte","2008","Male","0","15832","0"
"Diphtheria","Del Norte","2009","Total","0","28559","0"
"Diphtheria","Del Norte","2009","Female","0","12720","0"
"Diphtheria","Del Norte","2009","Male","0","15839","0"
"Diphtheria","Del Norte","2010","Total","0","28543","0"
"Diphtheria","Del Norte","2010","Female","0","12648","0"
"Diphtheria","Del Norte","2010","Male","0","15895","0"
"Diphtheria","Del Norte","2011","Total","0","28485","0"
"Diphtheria","Del Norte","2011","Female","0","12618","0"
"Diphtheria","Del Norte","2011","Male","0","15867","0"
"Diphtheria","Del Norte","2012","Total","0","28533","0"
"Diphtheria","Del Norte","2012","Female","0","12644","0"
"Diphtheria","Del Norte","2012","Male","0","15889","0"
"Diphtheria","Del Norte","2013","Total","0","28225","0"
"Diphtheria","Del Norte","2013","Female","0","12478","0"
"Diphtheria","Del Norte","2013","Male","0","15747","0"
"Diphtheria","Del Norte","2014","Total","0","28219","0"
"Diphtheria","Del Norte","2014","Female","0","12466","0"
"Diphtheria","Del Norte","2014","Male","0","15753","0"
"Diphtheria","El Dorado","2001","Total","0","161880","0"
"Diphtheria","El Dorado","2001","Female","0","80988","0"
"Diphtheria","El Dorado","2001","Male","0","80892","0"
"Diphtheria","El Dorado","2002","Total","0","164725","0"
"Diphtheria","El Dorado","2002","Female","0","82411","0"
"Diphtheria","El Dorado","2002","Male","0","82314","0"
"Diphtheria","El Dorado","2003","Total","0","167670","0"
"Diphtheria","El Dorado","2003","Female","0","83875","0"
"Diphtheria","El Dorado","2003","Male","0","83795","0"
"Diphtheria","El Dorado","2004","Total","0","170304","0"
"Diphtheria","El Dorado","2004","Female","0","85200","0"
"Diphtheria","El Dorado","2004","Male","0","85104","0"
"Diphtheria","El Dorado","2005","Total","0","173181","0"
"Diphtheria","El Dorado","2005","Female","0","86647","0"
"Diphtheria","El Dorado","2005","Male","0","86534","0"
"Diphtheria","El Dorado","2006","Total","0","175258","0"
"Diphtheria","El Dorado","2006","Female","0","87654","0"
"Diphtheria","El Dorado","2006","Male","0","87604","0"
"Diphtheria","El Dorado","2007","Total","0","177195","0"
"Diphtheria","El Dorado","2007","Female","0","88622","0"
"Diphtheria","El Dorado","2007","Male","0","88573","0"
"Diphtheria","El Dorado","2008","Total","0","178599","0"
"Diphtheria","El Dorado","2008","Female","0","89339","0"
"Diphtheria","El Dorado","2008","Male","0","89260","0"
"Diphtheria","El Dorado","2009","Total","0","179701","0"
"Diphtheria","El Dorado","2009","Female","0","89876","0"
"Diphtheria","El Dorado","2009","Male","0","89825","0"
"Diphtheria","El Dorado","2010","Total","0","180925","0"
"Diphtheria","El Dorado","2010","Female","0","90414","0"
"Diphtheria","El Dorado","2010","Male","0","90511","0"
"Diphtheria","El Dorado","2011","Total","0","180639","0"
"Diphtheria","El Dorado","2011","Female","0","90341","0"
"Diphtheria","El Dorado","2011","Male","0","90298","0"
"Diphtheria","El Dorado","2012","Total","0","182640","0"
"Diphtheria","El Dorado","2012","Female","0","91305","0"
"Diphtheria","El Dorado","2012","Male","0","91335","0"
"Diphtheria","El Dorado","2013","Total","0","182958","0"
"Diphtheria","El Dorado","2013","Female","0","91508","0"
"Diphtheria","El Dorado","2013","Male","0","91450","0"
"Diphtheria","El Dorado","2014","Total","0","183957","0"
"Diphtheria","El Dorado","2014","Female","0","92046","0"
"Diphtheria","El Dorado","2014","Male","0","91911","0"
"Diphtheria","Fresno","2001","Total","0","815003","0"
"Diphtheria","Fresno","2001","Female","0","407172","0"
"Diphtheria","Fresno","2001","Male","0","407831","0"
"Diphtheria","Fresno","2002","Total","0","828637","0"
"Diphtheria","Fresno","2002","Female","0","414207","0"
"Diphtheria","Fresno","2002","Male","0","414430","0"
"Diphtheria","Fresno","2003","Total","0","845917","0"
"Diphtheria","Fresno","2003","Female","0","423018","0"
"Diphtheria","Fresno","2003","Male","0","422899","0"
"Diphtheria","Fresno","2004","Total","0","860226","0"
"Diphtheria","Fresno","2004","Female","0","430198","0"
"Diphtheria","Fresno","2004","Male","0","430028","0"
"Diphtheria","Fresno","2005","Total","0","871910","0"
"Diphtheria","Fresno","2005","Female","0","436052","0"
"Diphtheria","Fresno","2005","Male","0","435858","0"
"Diphtheria","Fresno","2006","Total","0","886376","0"
"Diphtheria","Fresno","2006","Female","0","443403","0"
"Diphtheria","Fresno","2006","Male","0","442973","0"
"Diphtheria","Fresno","2007","Total","0","899826","0"
"Diphtheria","Fresno","2007","Female","0","450080","0"
"Diphtheria","Fresno","2007","Male","0","449746","0"
"Diphtheria","Fresno","2008","Total","0","913239","0"
"Diphtheria","Fresno","2008","Female","0","456755","0"
"Diphtheria","Fresno","2008","Male","0","456484","0"
"Diphtheria","Fresno","2009","Total","0","923895","0"
"Diphtheria","Fresno","2009","Female","0","461947","0"
"Diphtheria","Fresno","2009","Male","0","461948","0"
"Diphtheria","Fresno","2010","Total","0","932343","0"
"Diphtheria","Fresno","2010","Female","0","466558","0"
"Diphtheria","Fresno","2010","Male","0","465785","0"
"Diphtheria","Fresno","2011","Total","0","939329","0"
"Diphtheria","Fresno","2011","Female","0","469845","0"
"Diphtheria","Fresno","2011","Male","0","469484","0"
"Diphtheria","Fresno","2012","Total","0","948453","0"
"Diphtheria","Fresno","2012","Female","0","474300","0"
"Diphtheria","Fresno","2012","Male","0","474153","0"
"Diphtheria","Fresno","2013","Total","0","956967","0"
"Diphtheria","Fresno","2013","Female","0","478477","0"
"Diphtheria","Fresno","2013","Male","0","478490","0"
"Diphtheria","Fresno","2014","Total","0","967491","0"
"Diphtheria","Fresno","2014","Female","0","483695","0"
"Diphtheria","Fresno","2014","Male","0","483796","0"
"Diphtheria","Glenn","2001","Total","0","26611","0"
"Diphtheria","Glenn","2001","Female","0","13154","0"
"Diphtheria","Glenn","2001","Male","0","13457","0"
"Diphtheria","Glenn","2002","Total","0","26792","0"
"Diphtheria","Glenn","2002","Female","0","13251","0"
"Diphtheria","Glenn","2002","Male","0","13541","0"
"Diphtheria","Glenn","2003","Total","0","27156","0"
"Diphtheria","Glenn","2003","Female","0","13448","0"
"Diphtheria","Glenn","2003","Male","0","13708","0"
"Diphtheria","Glenn","2004","Total","0","27264","0"
"Diphtheria","Glenn","2004","Female","0","13518","0"
"Diphtheria","Glenn","2004","Male","0","13746","0"
"Diphtheria","Glenn","2005","Total","0","27525","0"
"Diphtheria","Glenn","2005","Female","0","13636","0"
"Diphtheria","Glenn","2005","Male","0","13889","0"
"Diphtheria","Glenn","2006","Total","0","27731","0"
"Diphtheria","Glenn","2006","Female","0","13729","0"
"Diphtheria","Glenn","2006","Male","0","14002","0"
"Diphtheria","Glenn","2007","Total","0","28013","0"
"Diphtheria","Glenn","2007","Female","0","13871","0"
"Diphtheria","Glenn","2007","Male","0","14142","0"
"Diphtheria","Glenn","2008","Total","0","28120","0"
"Diphtheria","Glenn","2008","Female","0","13920","0"
"Diphtheria","Glenn","2008","Male","0","14200","0"
"Diphtheria","Glenn","2009","Total","0","28056","0"
"Diphtheria","Glenn","2009","Female","0","13906","0"
"Diphtheria","Glenn","2009","Male","0","14150","0"
"Diphtheria","Glenn","2010","Total","0","28144","0"
"Diphtheria","Glenn","2010","Female","0","13938","0"
"Diphtheria","Glenn","2010","Male","0","14206","0"
"Diphtheria","Glenn","2011","Total","0","28256","0"
"Diphtheria","Glenn","2011","Female","0","13991","0"
"Diphtheria","Glenn","2011","Male","0","14265","0"
"Diphtheria","Glenn","2012","Total","0","28560","0"
"Diphtheria","Glenn","2012","Female","0","14136","0"
"Diphtheria","Glenn","2012","Male","0","14424","0"
"Diphtheria","Glenn","2013","Total","0","28628","0"
"Diphtheria","Glenn","2013","Female","0","14165","0"
"Diphtheria","Glenn","2013","Male","0","14463","0"
"Diphtheria","Glenn","2014","Total","0","28715","0"
"Diphtheria","Glenn","2014","Female","0","14207","0"
"Diphtheria","Glenn","2014","Male","0","14508","0"
"Diphtheria","Humboldt","2001","Total","0","127348","0"
"Diphtheria","Humboldt","2001","Female","0","64153","0"
"Diphtheria","Humboldt","2001","Male","0","63195","0"
"Diphtheria","Humboldt","2002","Total","0","128755","0"
"Diphtheria","Humboldt","2002","Female","0","64785","0"
"Diphtheria","Humboldt","2002","Male","0","63970","0"
"Diphtheria","Humboldt","2003","Total","0","130179","0"
"Diphtheria","Humboldt","2003","Female","0","65437","0"
"Diphtheria","Humboldt","2003","Male","0","64742","0"
"Diphtheria","Humboldt","2004","Total","0","131243","0"
